stop1,stop2,transporte1,transporte2
CALLAO,GRAN VIA,urban,urban
CALLAO,NOVICIADO,urban,urban
CALLAO,PLAZA DE ESPAÑA,urban,urban
CALLAO,SANTO DOMINGO,urban,urban
CALLAO,TRIBUNAL,urban,urban
CAMPAMENTO,CASA DE CAMPO,urban,urban
CAMPAMENTO,COLONIA JARDIN,urban,urban
CAMPAMENTO,EMPALME,urban,urban
CANAL,IGLESIA,urban,urban
CANAL,ISLAS FILIPINAS,urban,urban
CANAL,QUEVEDO,urban,urban
CANAL,RIOS ROSAS,urban,urban
CANILLAS,CANILLEJAS,urban,urban
CANILLAS,ESPERANZA,urban,urban
CANILLAS,FERIA DE MADRID,urban,urban
CANILLAS,MAR DE CRISTAL,urban,urban
CANILLAS,TORRE ARIAS,urban,urban
CANILLEJAS,EL CAPRICHO,urban,urban
CANILLEJAS,LAS MUSAS,urban,urban
CANILLEJAS,PARQUE DE LAS AVENIDAS,urban,urban
CANILLEJAS,TORRE ARIAS,urban,urban
CARABANCHEL,CARABANCHEL ALTO,urban,urban
CARABANCHEL,CARPETANA,urban,urban
CARABANCHEL,EUGENIA DE MONTIJO,urban,urban
CARABANCHEL,VISTA ALEGRE,urban,urban
CARABANCHEL ALTO,EUGENIA DE MONTIJO,urban,urban
CARABANCHEL ALTO,LA PESETA,urban,urban
CARABANCHEL ALTO,SAN FRANCISCO,urban,urban
CARABANCHEL ALTO,VISTA ALEGRE,urban,urban
CARPETANA,EMPALME,urban,urban
CARPETANA,EUGENIA DE MONTIJO,urban,urban
CARPETANA,LAGUNA,urban,urban
CARPETANA,OPORTO,urban,urban
CARPETANA,PIRAMIDES,urban,urban
CARPETANA,PUERTA DEL ANGEL,urban,urban
CARPETANA,VISTA ALEGRE,urban,urban
CARTAGENA,DIEGO DE LEON,urban,urban
CARTAGENA,PARQUE DE LAS AVENIDAS,urban,urban
CARTAGENA,PROSPERIDAD,urban,urban
CASA DE CAMPO,EMPALME,urban,urban
CASA DE CAMPO,LAGUNA,urban,urban
CASA DE CAMPO,LUCERO,urban,urban
CHAMARTIN,PLAZA DE CASTILLA,urban,urban
CHUECA,COLON,urban,urban
CIUDAD DE LOS ANGELES,SAN FERMIN-ORCASUR,urban,urban
CIUDAD DE LOS ANGELES,VILLAVERDE BAJO CRUCE,urban,urban
CIUDAD LINEAL,GARCIA NOBLEJAS,urban,urban
CIUDAD LINEAL,PUEBLO NUEVO,urban,urban
CIUDAD LINEAL,QUINTANA,urban,urban
CIUDAD LINEAL,SUANZES,urban,urban
CIUDAD UNIVERSITARIA,ISLAS FILIPINAS,urban,urban
CIUDAD UNIVERSITARIA,MONCLOA,urban,urban
CIUDAD UNIVERSITARIA,PRINCIPE PIO,urban,urban
CIUDAD UNIVERSITARIA,VICENTE ALEIXANDRE,urban,urban
COLOMBIA,CONCHA ESPINA,urban,urban
COLOMBIA,CUZCO,urban,urban
COLOMBIA,MANOTERAS,urban,urban
COLOMBIA,PINAR DEL REY,urban,urban
COLOMBIA,PIO XII,urban,urban
COLOMBIA,SANTIAGO BERNABEU,urban,urban
COLON,RUBEN DARIO,urban,urban
COLON,SERRANO,urban,urban
COLON,VELAZQUEZ,urban,urban
COLONIA JARDIN,EMPALME,urban,urban
CONCHA ESPINA,CRUZ DEL RAYO,urban,urban
CONCHA ESPINA,REPUBLICA ARGENTINA,urban,urban
CONCHA ESPINA,SANTIAGO BERNABEU,urban,urban
CONDE DE CASAL,ESTRELLA,urban,urban
CONDE DE CASAL,LA GAVIA,urban,urban
CONDE DE CASAL,MENENDEZ PELAYO,urban,urban
CONDE DE CASAL,PACIFICO,urban,urban
CONDE DE CASAL,SAINZ DE BARANDA,urban,urban
CONDE DE CASAL,SIERRA DE GUADALUPE,urban,urban
CONDE DE CASAL,VILLA DE VALLECAS,urban,urban
CONGOSTO,LA GAVIA,urban,urban
CONGOSTO,SIERRA DE GUADALUPE,urban,urban
CONGOSTO,VILLA DE VALLECAS,urban,urban
CRUZ DEL RAYO,PROSPERIDAD,urban,urban
CRUZ DEL RAYO,REPUBLICA ARGENTINA,urban,urban
